Linux,4.15.0-36-generic,(Super-Server),2018-10-03,_x86_64_,(64,CPU)

06:38:01,PM,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
06:38:01,PM,all,0.04,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,99.90
06:38:01,PM,0,0.10,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,99.84
06:38:01,PM,1,0.09,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99.86
06:38:01,PM,2,0.06,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,99.90
06:38:01,PM,3,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.90
06:38:01,PM,4,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.90
06:38:01,PM,5,0.06,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.91
06:38:01,PM,6,0.03,0.00,0.53,0.06,0.00,0.00,0.00,0.00,0.00,99.39
06:38:01,PM,7,0.03,0.00,0.50,0.06,0.00,0.00,0.00,0.00,0.00,99.41
06:38:01,PM,8,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.93
06:38:01,PM,9,0.05,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.92
06:38:01,PM,10,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,11,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.96
06:38:01,PM,12,0.05,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99.91
06:38:01,PM,13,0.05,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.93
06:38:01,PM,14,0.03,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.92
06:38:01,PM,15,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,16,0.05,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.91
06:38:01,PM,17,0.04,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,99.92
06:38:01,PM,18,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,19,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.96
06:38:01,PM,20,0.09,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.88
06:38:01,PM,21,0.08,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.89
06:38:01,PM,22,0.04,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,23,0.04,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,24,0.01,0.00,0.04,0.03,0.00,0.00,0.00,0.00,0.00,99.92
06:38:01,PM,25,0.02,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,99.92
06:38:01,PM,26,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.98
06:38:01,PM,27,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.98
06:38:01,PM,28,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,29,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.96
06:38:01,PM,30,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,31,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,32,0.07,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99.88
06:38:01,PM,33,0.09,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99.86
06:38:01,PM,34,0.05,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.91
06:38:01,PM,35,0.06,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.91
06:38:01,PM,36,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.89
06:38:01,PM,37,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.90
06:38:01,PM,38,0.06,0.00,0.33,0.18,0.00,0.04,0.00,0.00,0.00,99.39
06:38:01,PM,39,0.03,0.00,0.52,0.08,0.00,0.00,0.00,0.00,0.00,99.37
06:38:01,PM,40,0.05,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.93
06:38:01,PM,41,0.02,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,99.78
06:38:01,PM,42,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,43,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,44,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,45,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.96
06:38:01,PM,46,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,47,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,48,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,49,0.03,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,50,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.96
06:38:01,PM,51,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,52,0.08,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.89
06:38:01,PM,53,0.08,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.88
06:38:01,PM,54,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.94
06:38:01,PM,55,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.95
06:38:01,PM,56,0.01,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,99.93
06:38:01,PM,57,0.01,0.00,0.04,0.03,0.00,0.00,0.00,0.00,0.00,99.93
06:38:01,PM,58,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.98
06:38:01,PM,59,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.98
06:38:01,PM,60,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,61,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,62,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.97
06:38:01,PM,63,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,99.98

top,-,18:38:01,up,1,day,59,min,1,user,load,average:,0.00,0.00,0.00
Tasks:,967,total,2,running,647,sleeping,0,stopped,0,zombie
%Cpu(s):,0.0,us,0.1,sy,0.0,ni,99.9,id,0.0,wa,0.0,hi,0.0,si,0.0,st
KiB,Mem,:,13190964+total,12091953+free,1655404,used,9334708,buff/cache
KiB,Swap:,2097148,total,2097148,free,0,used.,12896088+avail,Mem,

,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
,28910,xroot,20,0,85816,27812,9232,R,47.4,0.0,0:00.17,python
,28927,root,20,0,52440,4804,3524,R,15.8,0.0,0:00.06,top
,1,root,20,0,225632,9360,6668,S,0.0,0.0,0:04.41,systemd
,2,root,20,0,0,0,0,S,0.0,0.0,0:00.05,kthreadd
,4,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker/0+
,7,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,mm_percpu+
,8,root,20,0,0,0,0,S,0.0,0.0,0:00.11,ksoftirqd+
,9,root,20,0,0,0,0,I,0.0,0.0,0:24.75,rcu_sched
,10,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_bh
,11,root,rt,0,0,0,0,S,0.0,0.0,0:00.00,migration+
,12,root,rt,0,0,0,0,S,0.0,0.0,0:00.12,watchdog/0
,13,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/0
,14,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/1
